ReminderId, response
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,0
264,1
265,0
266,0
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,1
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,0
487,1
488,0
489,1
490,0
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,0
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,1
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,1
557,1
558,0
559,0
560,1
561,0
562,1
563,0
564,0
565,0
566,0
567,1
568,1
569,0
570,1
571,0
572,0
573,0
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,1
584,0
585,0
586,0
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,1
615,1
616,0
617,0
618,0
619,1
620,1
621,1
622,1
623,1
624,1
625,0
626,1
627,1
628,1
629,0
630,1
631,1
632,0
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,0
644,0
645,0
646,1
647,0
648,0
649,0
650,1
651,0
652,0
653,0
654,1
655,0
656,1
657,0
658,1
659,1
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,0
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,1
685,1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,0
694,1
695,1
696,0
697,0
698,1
699,0
700,1
701,1
702,0
703,1
704,1
705,0
706,1
707,1
708,1
709,0
710,1
711,0
712,1
713,0
714,1
715,1
716,1
717,1
718,1
719,0
720,0
721,1
722,1
723,0
724,1
725,0
726,0
727,0
728,0
729,1
730,1
731,0
732,0
733,1
734,0
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,0
743,1
744,0
745,0
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,1
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,1
772,0
773,1
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,0
782,1
783,0
784,0
785,0
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,1
798,1
799,1
800,0
801,0
802,1
803,0
804,1
805,0
806,1
807,1
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,1
816,1
817,1
818,0
819,1
820,1
821,1
822,0
823,0
824,0
825,0
826,1
827,1
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,0
836,0
837,1
838,0
839,0
840,0
841,1
842,0
843,1
844,0
845,1
846,1
847,1
848,0
849,0
850,0
851,0
852,0
853,1
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,1
863,0
864,1
865,0
866,0
867,0
868,0
869,1
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,1
878,1
879,0
880,0
881,0
882,0
883,0
884,0
885,1
886,0
887,1
888,0
889,1
890,0
891,1
892,0
893,1
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,0
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,0
910,0
911,1
912,1
913,0
914,1
915,0
916,0
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,1
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,1
934,0
935,1
936,0
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,1
945,1
946,1
947,1
948,1
949,0
950,1
951,1
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,0
960,0
961,0
962,0
963,1
964,1
965,1
966,1
967,0
968,0
969,0
970,0
971,1
972,0
973,0
974,1
975,1
976,1
977,1
978,1
979,0
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,1
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,1
1039,1
1040,0
1041,0
1042,0
1043,0
1044,1
1045,1
1046,0
1047,0
1048,1
1049,1
1050,0
1051,1
1052,0
1053,0
1054,1
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
1061,1
1062,0
1063,1
1064,0
1065,1
1066,1
1067,0
1068,0
1069,1
1070,1
1071,0
1072,1
1073,1
1074,1
1075,0
1076,0
1077,0
1078,1
1079,1
1080,0
1081,0
1082,0
1083,0
1084,1
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,1
1103,0
1104,0
1105,0
1106,0
1107,1
1108,1
1109,1
1110,0
1111,0
1112,0
1113,1
1114,0
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,1
1123,0
1124,0
1125,1
1126,1
1127,0
1128,0
1129,1
1130,1
1131,0
1132,1
1133,0
1134,0
1135,0
1136,1
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,0
1144,0
1145,1
1146,0
1147,1
1148,0
1149,0
1150,0
1151,1
1152,0
1153,1
1154,0
1155,0
1156,1
1157,0
1158,1
1159,0
1160,0
1161,1
1162,0
1163,1
1164,0
1165,1
1166,1
1167,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,0
1174,0
1175,0
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,1
1190,0
1191,0
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,0
1205,1
1206,1
1207,0
1208,0
1209,0
1210,1
1211,0
1212,0
1213,0
1214,1
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,1
1223,1
1224,1
1225,1
1226,0
1227,0
1228,1
1229,0
